Isolaat,amp100-1,amp100-2,amp100-3,amp100-4,amp100-5,amp100-6,amp100-7
Nor_53,0.006,0.006,0.007,0.006,0.005,0.008,
Kan_3,0.008,0.005,0.004,1.38777878078145E-17,0,0,
Kan_30,0.02,0.019,0.018,0.014,0.026,0.087,
Kan_18,0.023,0.02,0.02,0.015,0.01,0.013,
Kan_31,0,0,0,0,0.022,0.183,
Cam_4,0,0,0,0,0,0,
Cam_1,0.001,0.001,0.001,0.001,0.002,0.002,
Tet_11,0.303,0.356,0.412,0.567,0.615,0.563,
Cam_6,1.38777878078145E-17,1.38777878078145E-17,1.38777878078145E-17,1.38777878078145E-17,1.38777878078145E-17,0.001,
Cam_17,0.009,0.008,0.007,0.007,0.007,0.032,
Kan_26,0.008,0.006,0.006,0.005,0.005,0.005,
Tet_8,0.174,0.214,0.233,0.331,0.4,0.422,
Tet_12,0.026,0.023,0.023,0.181,0.383,0.517,
Tet_9,0,0,0,0,0,0,
Kan_4,0.004,0.004,0.005,0.005,0.005,0.005,
Kan_28,0.011,0.01,0.01,0.086,0.3,0.43,
Kan_25,0.207,0.302,0.366,0.49,0.601,0.597,
Kan_24,0.006,0.005,0.004,0.002,0.001,0.008,
Kan_17,0.005,0.004,0.004,0.003,0.002,0.001,
Kan_33,0.012,0.011,0.01,0.007,0.175,0.2,
Kan_2,0.343,0.427,0.481,0.676,0.777,0.784,
Cam_10,0.003,0.003,0.003,0.005,0.047,0.097,
Kan_10,0.005,0.004,0.003,0.002,0.001,0.001,
Tet_6,0.214,0.185,0.212,0.282,0.501,0.336,
Tet_16,0.297,0.394,0.464,0.638,0.695,0.699,
Cam_20,0,0,0,0,0,0,
Kan_13,0.006,0.006,0.006,0.006,0.005,0.005,
Kan_22,0.189,0.254,0.305,0.62,0.727,0.753,
Kan_9,0,0,0,0,0,0,
Tet_1,0.44,0.392,0.417,0.403,0.319,0.255,
Kan_15,0.004,0.004,0.004,0.005,0.005,0.005,
Tet_5,0.346,0.4,0.449,0.632,0.561,0.514,
Tet_15,0.25745714285714,0.32445714285714,0.38145714285714,0.66945714285714,0.78145714285714,0.85145714285714,
Tet_17,0.27745714285714,0.28345714285714,0.40445714285714,0.64745714285714,0.67945714285714,0.71745714285714,
Tet_3,0,0,0,0,0,0,
Kan_5,0.00245714285714,0.00245714285714,0.00245714285714,0.00145714285714,0.00245714285714,0.00145714285714,
