Isolaadid,zb-1,zb-2,zb-3,zb-4,zb-5,zb-6,zb-7
Amp_25,0.24765714285714,0.27865714285714,0.28765714285714,0.40565714285714,0.26565714285714,0.20465714285714,-
Amp_26,0.32665714285714,0.37965714285714,0.40965714285714,0.60965714285714,0.55765714285714,0.62665714285714,-
Amp_24,0.25865714285714,0.27365714285714,0.25865714285714,0.35265714285714,0.49165714285714,0.53665714285714,-
Amp_10,0.38065714285714,0.50065714285714,0.49065714285714,0.70965714285714,0.60865714285714,0.59865714285714,-
Amp_11,0.23465714285714,0.27665714285714,0.27765714285714,0.28365714285714,0.33965714285714,0.52065714285714,-
Amp_3,0.33165714285714,0.39965714285714,0.49465714285714,0.60765714285714,0.62965714285714,0.79165714285714,-
Amp_4,0.26065714285714,0.28765714285714,0.29865714285714,0.35565714285714,0.33665714285714,0.39565714285714,-
Amp_13,0.13565714285714,0.17665714285714,0.19265714285714,0.18165714285714,0.13765714285714,0.18565714285714,-
Amp_6,0.24565714285714,0.27365714285714,0.28765714285714,0.34965714285714,0.36265714285714,0.40165714285714,-
Amp_12,0.22465714285714,0.27165714285714,0.29465714285714,0.50065714285714,0.32865714285714,0.33265714285714,-
Amp_5,0.32965714285714,0.40665714285714,0.43565714285714,0.56965714285714,0.57565714285714,0.61265714285714,-
Amp_8,0.23965714285714,0.32365714285714,0.39665714285714,0.49565714285714,0.66665714285714,0.72565714285714,-
Amp_15,0.07065714285714,0.08665714285714,0.10765714285714,0.30365714285714,0.41165714285714,0.36765714285714,-
Amp_7,0.26765714285714,0.30165714285714,0.27465714285714,0.49565714285714,0.38365714285714,0.59965714285714,-
Amp_14,0.14765714285714,0.15765714285714,0.18065714285714,0.26965714285714,0.30865714285714,0.29865714285714,-
Amp_9,0.28165714285714,0.25965714285714,0.25865714285714,0.37865714285714,0.30765714285714,0.24165714285714,-
Amp_16,0.08765714285714,0.17965714285714,0.14765714285714,0.43365714285714,0.39965714285714,0.71665714285714,-
Cam_15,0.26265714285714,0.34365714285714,0.40465714285714,0.61465714285714,0.63365714285714,0.64965714285714,-
Cam_14,0.32765714285714,0.40265714285714,0.41365714285714,0.52765714285714,0.53465714285714,0.52665714285714,-
Cam_11,0.37165714285714,0.39765714285714,0.43465714285714,0.85765714285714,0.77965714285714,0.74065714285714,-
Cam_12,0.43365714285714,0.51265714285714,0.56465714285714,0.66065714285714,0.72065714285714,0.72365714285714,-
Cam_8,0.19665714285714,0.26765714285714,0.35165714285714,0.54265714285714,0.63165714285714,0.62465714285714,-
Cam_7,0.31065714285714,0.38565714285714,0.44965714285714,0.71465714285714,0.77165714285714,0.78365714285714,-
Cam_5,0.34465714285714,0.44765714285714,0.47465714285714,0.63765714285714,0.64565714285714,0.66765714285714,-
Cam_21,0.34865714285714,0.38065714285714,0.39065714285714,0.49565714285714,0.55165714285714,0.27465714285714,-
Cam_3,0.27265714285714,0.31165714285714,0.34765714285714,0.50765714285714,0.61465714285714,0.71365714285714,-
Cam_2,0.32665714285714,0.35865714285714,0.37665714285714,0.49165714285714,0.57965714285714,0.60365714285714,-
Nor_16,0.02865714285714,0.06665714285714,0.13165714285714,0.36865714285714,0.34165714285714,0.45765714285714,-
Nor_40,0.00565714285714,0.01065714285714,0.01665714285714,0.05065714285714,0.09065714285714,0.11365714285714,-
Nor_46,0.03265714285714,0.05465714285714,0.08965714285714,0.18765714285714,0.23165714285714,0.30765714285714,-
Nor_50,0.01265714285714,0.01865714285714,0.02465714285714,0.39065714285714,0.67265714285714,0.83665714285714,-
Nor_55,0.04065714285714,0.07565714285714,0.08965714285714,0.51265714285714,0.65765714285714,0.75465714285714,-
Nor_22,0.02165714285714,0.03465714285714,0.04965714285714,0.08865714285714,0.10165714285714,0.16165714285714,-
Nor_23,0.03465714285714,0.06165714285714,0.08065714285714,0.14965714285714,0.19765714285714,0.23565714285714,-
Nor_24,0.02265714285714,0.03465714285714,0.05665714285714,0.34465714285714,0.55265714285714,0.71965714285714,-
Nor_30,0.05465714285714,0.09165714285714,0.13265714285714,0.22865714285714,0.30965714285714,0.39565714285714,-
Nor_8,0.00365714285714,0.00565714285714,0.01065714285714,0.05365714285714,0.18665714285714,0.36365714285714,-
Nor_43,0.10065714285714,0.13365714285714,0.17565714285714,0.33665714285714,0.41265714285714,0.49465714285714,-
Nor_29,0.05165714285714,0.08665714285714,0.12565714285714,0.35265714285714,0.45565714285714,0.56965714285714,-
Nor_45,-0.00334285714286,-0.00334285714286,-0.00234285714286,-0.00134285714286,0.04265714285714,0.18865714285714,-
Nor_15,0.00065714285714,0.00165714285714,0.00365714285714,0.06165714285714,0.13465714285714,0.16165714285714,-
Nor_21,0.00465714285714,0.00565714285714,0.00765714285714,0.02665714285714,0.10665714285714,0.29865714285714,-
Nor_51,0.04465714285714,0.07065714285714,0.09265714285714,0.19965714285714,0.21465714285714,0.40465714285714,-
Nor_17,0.02465714285714,0.04465714285714,0.07065714285714,0.10765714285714,0.15565714285714,0.32965714285714,-
Nor_52,0.00065714285714,0.00065714285714,0.00165714285714,0.00665714285714,0.12665714285714,0.29965714285714,-
Nor_9,-0.00034285714286,0.00065714285714,0.00365714285714,0.07365714285714,0.22665714285714,0.40465714285714,-
Nor_54,0.00365714285714,0.00465714285714,0.00465714285714,0.00765714285714,0.00765714285714,0.00565714285714,-
Nor_47,-0.01334285714286,-0.01334285714286,-0.01334285714286,-0.01134285714286,-0.00934285714286,-0.01234285714286,-
Amp_92,0.27248571428571,0.34448571428571,0.40048571428571,0.57048571428571,0.61748571428571,0.59948571428571,-
Amp_89,0.30648571428571,0.35648571428571,0.37948571428571,0.55148571428571,0.49048571428571,0.37248571428571,-
Amp_75,0.31748571428571,0.38948571428571,0.38048571428571,0.55948571428571,0.39748571428571,0.62248571428571,-
Amp_82,0.25548571428571,0.24248571428571,0.29448571428571,0.37148571428571,0.27748571428571,0.31148571428571,-
Amp_94,0.26948571428571,0.32048571428571,0.30548571428571,0.62548571428571,0.51948571428571,0.70248571428571,-
Amp_87,0.23748571428571,0.26048571428571,0.22148571428571,0.45448571428571,0.40748571428571,0.52948571428571,-
Amp_71,0.19548571428571,0.26348571428571,0.30948571428571,0.68448571428571,0.71848571428571,0.81648571428571,-
Amp_80,0.29148571428571,0.36248571428571,0.29348571428571,0.52148571428571,0.35948571428571,0.66248571428571,-
Amp_84,0.34248571428571,0.47348571428571,0.34748571428571,0.59548571428571,0.45548571428571,0.58948571428571,-
Tet_71,0.34448571428571,0.41148571428571,0.43048571428571,0.60948571428571,0.52748571428571,0.70548571428571,-
Tet_57,0.07648571428571,0.09648571428571,0.12348571428571,0.27948571428571,0.51148571428571,0.51148571428571,-
Amp_78,0.22448571428571,0.27948571428571,0.33748571428571,0.55548571428571,0.65148571428571,0.55148571428571,-
Kan_81,0.21648571428571,0.28348571428571,0.32848571428571,0.50948571428571,0.61648571428571,0.79148571428571,-
Kan_86,0.10748571428571,0.16748571428571,0.21648571428571,0.35748571428571,0.51848571428571,0.54748571428571,-
Kan_92,0.05348571428571,0.10248571428571,0.16148571428571,0.44348571428571,0.48148571428571,0.70448571428571,-
Kan_87,0.11248571428571,0.16248571428571,0.22448571428571,0.31748571428571,0.38248571428571,0.44948571428571,-
Kan_93,0.19748571428571,0.27448571428571,0.30548571428571,0.66648571428571,0.72348571428571,0.84848571428571,-
Kan_94,-0.00851428571429,-0.00851428571429,-0.00851428571429,-0.00751428571429,-0.00851428571429,-0.00851428571429,-
Kan_89,0.10548571428571,0.14448571428571,0.18648571428571,0.31848571428571,0.40548571428571,0.46948571428571,-
Kan_102,0.20648571428571,0.27148571428571,0.30748571428571,0.63648571428571,0.74248571428571,0.80948571428571,-
Kan_101,0.20248571428571,0.27048571428571,0.30848571428571,0.57948571428571,0.74548571428571,0.97048571428571,-
Kan_105,0.13048571428571,0.17548571428571,0.20048571428571,0.39648571428571,0.47448571428571,0.59448571428571,-
Kan_106,0.13748571428571,0.21548571428571,0.25448571428571,0.39948571428571,0.31348571428571,0.41648571428571,-
Kan_83,0.00248571428571,0.00648571428571,0.01448571428571,0.14348571428571,0.32648571428571,0.56748571428571,-
Cam_146,0.15048571428571,0.22148571428571,0.30848571428571,0.42748571428571,0.44848571428571,0.42248571428571,-
Cam_152,0.22348571428571,0.31648571428571,0.35548571428571,0.65048571428571,0.70148571428571,0.66748571428571,-
Cam_118,0.28748571428571,0.37248571428571,0.40548571428571,0.56648571428571,0.54548571428571,0.44548571428571,-
Cam_128,0.18848571428571,0.23148571428571,0.29248571428571,0.37848571428571,0.35248571428571,0.43248571428571,-
Cam_88,0.24048571428571,0.30348571428571,0.34448571428571,0.54348571428571,0.61048571428571,0.90148571428571,-
Cam_141,0.37248571428571,0.41348571428571,0.45848571428571,0.61748571428571,0.66248571428571,0.53748571428571,-
Cam_144,0.39748571428571,0.48148571428571,0.63248571428571,0.73848571428571,0.75048571428571,0.70248571428571,-
Cam_138,0.15748571428571,0.22148571428571,0.29048571428571,0.45248571428571,0.48648571428571,0.38148571428571,-
Cam_140,0.30248571428571,0.33348571428571,0.25748571428571,0.56748571428571,0.53448571428571,0.52948571428571,-
Cam_139,0.35348571428571,0.40048571428571,0.43148571428571,0.57948571428571,0.56048571428571,0.58448571428571,-
Cam_86,0.20648571428571,0.27648571428571,0.29448571428571,0.54248571428571,0.66748571428571,0.81048571428571,-
Cam_153,0.32548571428571,0.39048571428571,0.41648571428571,0.60548571428571,0.54448571428571,0.74848571428571,-
Cam_148,0.26948571428571,0.33148571428571,0.35548571428571,0.54148571428571,0.66148571428571,0.79648571428571,-
Cam_147,0.13648571428571,0.18048571428571,0.18748571428571,0.38548571428571,0.53248571428571,0.76748571428571,-
Cam_84,0.17348571428571,0.23148571428571,0.32748571428571,0.50348571428571,0.57548571428571,0.59048571428571,-
Cam_125,0.32948571428571,0.35248571428571,0.39648571428571,0.48948571428571,0.69548571428571,0.74748571428571,-
Cam_82,0.35948571428571,0.37448571428571,0.44548571428571,0.50848571428571,0.47548571428571,0.46548571428571,-
Cam_83,0.33948571428571,0.36648571428571,0.44648571428571,0.74548571428571,0.69648571428571,0.75748571428571,-
Cam_130,0.28248571428571,0.35848571428571,0.39448571428571,0.58348571428571,0.59748571428571,0.64348571428571,-
Cam_136,0.21548571428571,0.28348571428571,0.34348571428571,0.70048571428571,0.77548571428571,0.82448571428571,-
Cam_129,0.34948571428571,0.44648571428571,0.48748571428571,0.53948571428571,0.50848571428571,0.49448571428571,-
Cam_110,0.41848571428571,0.48948571428571,0.51448571428571,0.57448571428571,0.47148571428571,0.45048571428571,-
Cam_104,0.24748571428571,0.34148571428571,0.38848571428571,0.49248571428571,0.39348571428571,0.32848571428571,-
Cam_134,0.19848571428571,0.31448571428571,0.38748571428571,0.66048571428571,0.69548571428571,0.71548571428571,-
Cam_95,0.28848571428571,0.34248571428571,0.36548571428571,0.49448571428571,0.57648571428571,0.56448571428571,-
Cam_94,0.11048571428571,0.20948571428571,0.26848571428571,0.38848571428571,0.42748571428571,0.38948571428571,-
Cam_131,0.32348571428571,0.41748571428571,0.47348571428571,0.55248571428571,0.42948571428571,0.33648571428571,-
Cam_103,0.34648571428571,0.41948571428571,0.45548571428571,0.64048571428571,0.69348571428571,0.70748571428571,-
Cam_98,0.15248571428571,0.18548571428571,0.22448571428571,0.40448571428571,0.67548571428571,0.81948571428571,-
Cam_97,0.40548571428571,0.48448571428571,0.56948571428571,0.59448571428571,0.59548571428571,0.53848571428571,-
Cam_101,0.25248571428571,0.34448571428571,0.39448571428571,0.65448571428571,0.67448571428571,0.76948571428571,-
Cam_106,0.22648571428571,0.31648571428571,0.36648571428571,0.42248571428571,0.61448571428571,0.76948571428571,-
Cam_111,0.21048571428571,0.27748571428571,0.35348571428571,0.49648571428571,0.52148571428571,0.57448571428571,-
Cam_117,0.28248571428571,0.37848571428571,0.41148571428571,0.57848571428571,0.55948571428571,0.61748571428571,-
Cam_105,0.14648571428571,0.22148571428571,0.30448571428571,0.41548571428571,0.39248571428571,0.44048571428571,-
Cam_132,0.15148571428571,0.21348571428571,0.24948571428571,0.38148571428571,0.42748571428571,0.49948571428571,-
Cam_91,0.10148571428571,0.15448571428571,0.20148571428571,0.42648571428571,0.47448571428571,0.51648571428571,-
Cam_108,0.27148571428571,0.35748571428571,0.39448571428571,0.56648571428571,0.53048571428571,0.67148571428571,-
Cam_87,0.14248571428571,0.20348571428571,0.25048571428571,0.38248571428571,0.38348571428571,0.45548571428571,-
Cam_119,0.22848571428571,0.29948571428571,0.35048571428571,0.50148571428571,0.47248571428571,0.62948571428571,-
Amp_30,0.47445714285714,0.51045714285714,0.51445714285714,0.62245714285714,0.62645714285714,0.56645714285714,-
Amp_44,0.44045714285714,0.45745714285714,0.46345714285714,0.54745714285714,0.56645714285714,0.59045714285714,-
Amp_45,0.41145714285714,0.42945714285714,0.42745714285714,0.55645714285714,0.58745714285714,0.55645714285714,-
Amp_41,0.34145714285714,0.41845714285714,0.44445714285714,0.55145714285714,0.51445714285714,0.48545714285714,-
Cam_38,0.16545714285714,0.22545714285714,0.26945714285714,0.44545714285714,0.52445714285714,0.58145714285714,-
Cam_41,0.21045714285714,0.29845714285714,0.35645714285714,0.54345714285714,0.64545714285714,0.76745714285714,-
Cam_23,0.23245714285714,0.28745714285714,0.30645714285714,0.49645714285714,0.55445714285714,0.49245714285714,-
Amp_60,0.43445714285714,0.47045714285714,0.47345714285714,0.63645714285714,0.63945714285714,0.58845714285714,-
Cam_32,0.26545714285714,0.34745714285714,0.35445714285714,0.59345714285714,0.51545714285714,0.53545714285714,-
Cam_27,0.30845714285714,0.31145714285714,0.36245714285714,0.49545714285714,0.52145714285714,0.50745714285714,-
Cam_31,0.32445714285714,0.39245714285714,0.39845714285714,0.51545714285714,0.56345714285714,0.53645714285714,-
Cam_45,0.24745714285714,0.30145714285714,0.32645714285714,0.49845714285714,0.52945714285714,0.52445714285714,-
Cam_29,0.29245714285714,0.33845714285714,0.35745714285714,0.39645714285714,0.48945714285714,0.38645714285714,-
Cam_22,0.40245714285714,0.43745714285714,0.46245714285714,0.56745714285714,0.73845714285714,0.75645714285714,-
Cam_28,0.24145714285714,0.28145714285714,0.31545714285714,0.42145714285714,0.46645714285714,0.50345714285714,-
Cam_35,0.23145714285714,0.31345714285714,0.36345714285714,0.41445714285714,0.38145714285714,0.37945714285714,-
Cam_21,0.22645714285714,0.28045714285714,0.31445714285714,0.48845714285714,0.63745714285714,0.51945714285714,-
Cam_40,0.20645714285714,0.26945714285714,0.29945714285714,0.46345714285714,0.58445714285714,0.51545714285714,-
Cam_37,0.38245714285714,0.56545714285714,0.55645714285714,0.65345714285714,0.72645714285714,0.68445714285714,-
Cam_46,0.22145714285714,0.28645714285714,0.32245714285714,0.49045714285714,0.65145714285714,0.58745714285714,-
Tet_28,0.36845714285714,0.45945714285714,0.51745714285714,0.71845714285714,0.85245714285714,0.92845714285714,-
Tet_21,0.22045714285714,0.24945714285714,0.26045714285714,0.24045714285714,0.21245714285714,0.21345714285714,-
Tet_33,0.34145714285714,0.36745714285714,0.41045714285714,0.48245714285714,0.54245714285714,0.53745714285714,-
Tet_31,0.21245714285714,0.33645714285714,0.40645714285714,0.58345714285714,0.70345714285714,0.70645714285714,-
Tet_23,0.21945714285714,0.33445714285714,0.37945714285714,0.50045714285714,0.61645714285714,0.66245714285714,-
Tet_19,0.29245714285714,0.37445714285714,0.41545714285714,0.55545714285714,0.64545714285714,0.60945714285714,-
Tet_38,0.09845714285714,0.15945714285714,0.19745714285714,0.33845714285714,0.45745714285714,0.47245714285714,-
Endo_Tet_3,0.32245714285714,0.41945714285714,0.41645714285714,0.56945714285714,0.60945714285714,0.61945714285714,-
Tet_49,0.35245714285714,0.35845714285714,0.40445714285714,0.46045714285714,0.41045714285714,0.37445714285714,-
Tet_44,0.32645714285714,0.42945714285714,0.46045714285714,0.63145714285714,0.59545714285714,0.48245714285714,-
Tet_35,0.29745714285714,0.35645714285714,0.36745714285714,0.45445714285714,0.40645714285714,0.38745714285714,-
Tet_24,0.34045714285714,0.39545714285714,0.39945714285714,0.54445714285714,0.54645714285714,0.48645714285714,-
Tet_65,0.20145714285714,0.26745714285714,0.29945714285714,0.50045714285714,0.70245714285714,0.74745714285714,-
Tet_70,0.33445714285714,0.39445714285714,0.43745714285714,0.66645714285714,0.74645714285714,0.73745714285714,-
Tet_71,0.34845714285714,0.42345714285714,0.45045714285714,0.52945714285714,0.59045714285714,0.62445714285714,-
Tet_72,0.43345714285714,0.49445714285714,0.53045714285714,0.69145714285714,0.78645714285714,0.81145714285714,-
Tet_73,0.18545714285714,0.23445714285714,0.28445714285714,0.43545714285714,0.55745714285714,0.64845714285714,-
Tet_74,0.33745714285714,0.39345714285714,0.43845714285714,0.66745714285714,0.62245714285714,0.58945714285714,-
Tet_76,0.31345714285714,0.37545714285714,0.42745714285714,0.51545714285714,0.50745714285714,0.51045714285714,-
Tet_25,0.35045714285714,0.47045714285714,0.54145714285714,0.59645714285714,0.67145714285714,0.68845714285714,-
Tet_61,0.14845714285714,0.20345714285714,0.23845714285714,0.47545714285714,0.58645714285714,0.60145714285714,-
Tet_60,0.35145714285714,0.37845714285714,0.40445714285714,0.45245714285714,0.41445714285714,0.37745714285714,-
Tet_55,0.26145714285714,0.39645714285714,0.45145714285714,0.49945714285714,0.43145714285714,0.37445714285714,-
Tet_56,0.25045714285714,0.31645714285714,0.33845714285714,0.46445714285714,0.59845714285714,0.59245714285714,-
Tet_59,0.38345714285714,0.42345714285714,0.45045714285714,0.53645714285714,0.51045714285714,0.49345714285714,-
Tet_54,0.39245714285714,0.41445714285714,0.44345714285714,0.58845714285714,0.60945714285714,0.62345714285714,-
Tet_51,0.22845714285714,0.30145714285714,0.35845714285714,0.67345714285714,0.76845714285714,0.78845714285714,-
Tet_68,0.17145714285714,0.20945714285714,0.24345714285714,0.36445714285714,0.43845714285714,0.47245714285714,-
Tet_30,0.22445714285714,0.30245714285714,0.36045714285714,0.54845714285714,0.68545714285714,0.71445714285714,-
Endo_Tet_4,0.22545714285714,0.27345714285714,0.32845714285714,0.49945714285714,0.57745714285714,0.61145714285714,-
Endo_Tet_6,-0.00954285714286,0.01245714285714,0.05445714285714,0.33645714285714,0.50945714285714,0.50945714285714,-
Tet_57,0.07845714285714,0.09845714285714,0.11845714285714,0.42245714285714,0.44245714285714,0.50545714285714,-
Tet_67,0.17245714285714,0.24245714285714,0.27645714285714,0.54445714285714,0.72745714285714,0.79345714285714,-
Tet_69,0.34045714285714,0.42945714285714,0.46445714285714,0.59945714285714,0.60245714285714,0.61645714285714,-
Tet_63,0.40745714285714,0.49845714285714,0.54745714285714,0.59045714285714,0.61145714285714,0.72945714285714,-
Tet_62,0.20045714285714,0.28345714285714,0.34945714285714,0.50345714285714,0.64945714285714,0.67245714285714,-
Tet_42,0.26045714285714,0.33445714285714,0.37945714285714,0.58345714285714,0.73545714285714,0.78045714285714,-
Tet_34,0.18145714285714,0.27245714285714,0.33845714285714,0.48145714285714,0.57745714285714,0.58445714285714,-
Tet_37,0.29145714285714,0.33845714285714,0.36445714285714,0.42645714285714,0.47245714285714,0.43545714285714,-
Tet_75,0.25145714285714,0.33845714285714,0.32745714285714,0.51245714285714,0.63645714285714,0.63445714285714,-
Tet_53,0.08845714285714,0.14445714285714,0.18045714285714,0.30145714285714,0.39645714285714,0.41045714285714,-
Endo_Tet_2,0.00345714285714,0.00345714285714,0.00445714285714,0.00545714285714,0.00945714285714,0.01745714285714,-
Nor_125,0.06745714285714,0.12945714285714,0.16845714285714,0.27845714285714,0.33145714285714,0.41945714285714,-
Nor_124,0.00145714285714,0.00245714285714,0.00245714285714,0.05645714285714,0.40945714285714,0.47445714285714,-
Nor_216,0.0762,0.0912,0.1102,0.1472,0.1372,0.2202,-
Nor_231,0.0162,0.0182,0.0182,0.0142,0.0152,0.0132,-
Nor_249,0.0712,0.1012,0.1152,0.1802,0.2142,0.2302,-
Nor_258,0.1152,0.1432,0.1882,0.2592,0.2512,0.3142,-
Nor_245,0.0492,0.0562,0.0632,0.0792,0.0912,0.0752,-
Amp_155,0.2752,0.3172,0.3472,0.4352,0.3912,0.3932,-
Amp_135,0.2182,0.3022,0.3322,0.4392,0.4922,0.5662,-
Amp_126,0.1602,0.1552,0.1712,0.3302,0.5382,0.5972,-
Amp_137,0.2302,0.2712,0.3122,0.4182,0.4352,0.4252,-
Amp_150,0.1292,0.1582,0.2052,0.3522,0.5142,0.5722,-
Amp_136,0.1442,0.2282,0.2932,0.4782,0.4732,0.7042,-
Amp_146,0.1992,0.2342,0.2972,0.4462,0.5092,0.6222,-
Amp_151,0.2552,0.3002,0.3522,0.4812,0.4632,0.4282,-
Amp_147,0.1102,0.1462,0.1882,0.3502,0.3622,0.6132,-
Amp_142,0.1132,0.1572,0.1982,0.3502,0.4372,0.6572,-
Amp_132,0.3132,0.3752,0.4052,0.5762,0.3642,0.4822,-
Amp_117,0.2182,0.2732,0.3132,0.4302,0.4432,0.4262,-
Amp_127,0.0982,0.1082,0.1462,0.1942,0.3692,0.5112,-
Amp_123,0.2352,0.2842,0.3352,0.4932,0.6752,0.7612,-
Amp_100,0.1802,0.2202,0.2642,0.3362,0.2392,0.3532,-
Amp_106,0.1282,0.1612,0.2132,0.2592,0.4512,0.5392,-
Amp_157,0.1682,0.2232,0.2772,0.4432,0.4452,0.4652,-
Amp_156,0.1902,0.2352,0.2562,0.3572,0.4242,0.5112,-
Amp_162,0.1492,0.2042,0.2072,0.2032,0.1302,0.2592,-
Amp_161,0.1282,0.1442,0.1632,0.2602,0.3082,0.3562,-
Amp_167,0.1652,0.2192,0.2532,0.4392,0.4922,0.6832,-
Amp_166,0.1722,0.2232,0.2772,0.4122,0.3512,0.2962,-
Amp_129,0.1342,0.1732,0.2222,0.2472,0.2332,0.3232,-
Amp_134,0.1452,0.1862,0.2292,0.3342,0.3932,0.4012,-
Amp_193,0.0972,0.1432,0.1902,0.3242,0.4272,0.4462,-
Amp_111,0.0922,0.0982,0.0922,0.0842,0.0682,0.0672,-
Amp_101,0.1872,0.2232,0.2562,0.4322,0.4812,0.4802,-
Amp_103,0.2312,0.2682,0.3042,0.4402,0.4832,0.4622,-
Amp_104,0.0802,0.0922,0.1222,0.1922,0.2392,0.3502,-
Amp_109,0.2342,0.2892,0.3242,0.4732,0.4962,0.5002,-
Amp_110,0.1962,0.2152,0.3412,0.4972,0.5052,0.5262,-
Amp_115,0.1702,0.1982,0.1922,0.2022,0.2302,0.3222,-
Amp_112,0.1702,0.2192,0.2682,0.3512,0.4752,0.4922,-
Amp_113,0.1692,0.2052,0.2472,0.4042,0.3552,0.6312,-
Amp_195,0.2532,0.3002,0.3362,0.4592,0.4122,0.5262,-
Amp_192,0.1872,0.2162,0.2402,0.1922,0.2192,0.1132,-
Amp_181,0.1252,0.1462,0.1792,0.2902,0.2382,0.3802,-
Amp_175,0.1722,0.2082,0.2302,0.3352,0.2942,0.4302,-
Amp_165,0.1642,0.2502,0.2952,0.4502,0.3682,0.3202,-
Amp_180,0.2402,0.2872,0.3392,0.4752,0.6872,0.7672,-
Amp_190,0.2362,0.2672,0.3032,0.4472,0.5032,0.5172,-
Amp_185,0.2372,0.2772,0.3282,0.4752,0.4692,0.4832,-
Amp_119,0.0982,0.1472,0.2092,0.3462,0.4112,0.5462,-
Amp_124,0.2572,0.2892,0.3222,0.3952,0.3722,0.3882,-
Amp_120,0.1442,0.1612,0.1982,0.2332,0.3172,0.4192,-
Amp_130,0.1242,0.1122,0.1602,0.1802,0.1172,0.2992,-
Amp_143,0.1722,0.1862,0.2082,0.2472,0.2532,0.3812,-
Amp_148,0.2022,0.2552,0.3022,0.3962,0.4962,0.5162,-
Amp_153,0.2372,0.2932,0.3442,0.4812,0.2482,0.4642,-
Amp_145,0.2072,0.2732,0.3242,0.4952,0.4652,0.4712,-
Amp_169,0.2452,0.2992,0.3572,0.5072,0.5662,0.6622,-
Amp_172,0.1512,0.1922,0.2272,0.3762,0.5192,0.5342,-
Amp_178,0.1202,0.1912,0.2492,0.3582,0.3112,0.4842,-
Amp_173,0.2082,0.2572,0.2932,0.4282,0.4882,0.5012,-
Amp_184,0.2462,0.3032,0.3462,0.4122,0.3742,0.5282,-
Amp_176,0.1592,0.2182,0.2482,0.4662,0.5502,0.6262,-
Amp_171,0.2182,0.2772,0.3122,0.4162,0.4332,0.4562,-
Amp_158,0.1992,0.2892,0.3772,0.4762,0.4452,0.4132,-
Amp_163,0.0902,0.1122,0.1492,0.1912,0.1812,0.3182,-
Cam_123,0.11391428571429,0.14491428571429,0.16891428571429,0.21891428571429,0.26691428571429,0.24491428571429,-
Cam_122,0.14591428571429,0.19391428571429,0.22991428571429,0.27991428571429,0.31891428571429,0.30991428571429,-
Cam_135,0.14891428571429,0.21691428571429,0.26591428571429,0.32591428571429,0.32691428571429,0.32191428571429,-
Cam_137,0.19191428571429,0.25191428571429,0.30691428571429,0.39591428571429,0.44491428571429,0.45491428571429,-
Cam_102,0.19591428571429,0.25891428571429,0.30591428571429,0.38791428571429,0.43091428571429,0.39291428571429,-
Nor_244,0.15691428571429,0.19891428571429,0.20991428571429,0.28091428571429,0.37291428571429,0.38191428571429,-
Nor_243,0.20391428571429,0.24191428571429,0.31891428571429,0.38791428571429,0.41891428571429,0.41091428571429,-
Nor_248,0.07091428571429,0.09091428571429,0.12291428571429,0.20391428571429,0.37391428571429,0.42091428571429,-
Nor_239,0.15191428571429,0.17991428571429,0.22291428571429,0.32891428571429,0.33991428571429,0.28191428571429,-
Nor_233,0.20591428571429,0.27991428571429,0.35491428571429,0.53291428571429,0.70091428571429,0.73391428571429,-
Nor_228,0.02191428571429,0.04491428571429,0.09291428571429,0.19491428571429,0.33691428571429,0.32991428571429,-
Nor_253,0.17591428571429,0.22591428571429,0.28091428571429,0.43891428571429,0.55691428571429,0.60491428571429,-
Nor_246,0.12191428571429,0.15691428571429,0.16791428571429,0.25691428571429,0.32491428571429,0.40191428571429,-
Nor_247,0.02891428571429,0.03491428571429,0.04291428571429,0.06591428571429,0.13491428571429,0.16791428571429,-
Nor_242,0.14291428571429,0.19891428571429,0.23991428571429,0.41391428571429,0.51791428571429,0.52991428571429,-
Nor_256,0.16991428571429,0.22591428571429,0.29391428571429,0.28691428571429,0.32891428571429,0.31191428571429,-
Nor_257,0.09491428571429,0.12291428571429,0.15891428571429,0.23591428571429,0.28891428571429,0.28791428571429,-
Nor_251,0.10891428571429,0.13891428571429,0.16491428571429,0.24091428571429,0.33191428571429,0.41691428571429,-
Nor_221,0.04591428571429,0.07891428571429,0.11591428571429,0.22591428571429,0.48691428571429,0.56491428571429,-
Nor_261,0.06191428571429,0.07791428571429,0.10591428571429,0.12091428571429,0.18791428571429,0.17191428571429,-
Nor_223,0.08191428571429,0.11591428571429,0.14491428571429,0.31491428571429,0.61091428571429,0.67791428571429,-
Nor_179,0.08091428571429,0.08591428571429,0.10291428571429,0.14391428571429,0.19591428571429,0.22291428571429,-
Nor_184,0.02291428571429,0.05691428571429,0.10291428571429,0.14691428571429,0.13391428571429,0.09491428571429,-
Nor_215,0.04291428571429,0.06091428571429,0.08991428571429,0.15791428571429,0.27991428571429,0.36691428571429,-
Nor_166,0.20191428571429,0.26091428571429,0.33891428571429,0.47291428571429,0.52791428571429,0.55191428571429,-
Nor_189,0.10091428571429,0.12591428571429,0.14991428571429,0.23191428571429,0.30191428571429,0.31891428571429,-
Nor_199,0.12791428571429,0.17491428571429,0.23391428571429,0.37691428571429,0.46991428571429,0.52191428571429,-
Nor_205,0.12891428571429,0.17791428571429,0.22791428571429,0.33991428571429,0.45191428571429,0.27591428571429,-
Nor_204,0.15891428571429,0.19191428571429,0.25291428571429,0.38691428571429,0.36591428571429,0.32191428571429,-
