Isolaadid,zb-1,zb-2,zb-3,zb-4,zb-5,zb-6,zb-7
Nor_108,0.07902857142857,0.13302857142857,0.13102857142857,0.20102857142857,0.15202857142857,0.14302857142857,0.12502857142857
Nor_99,0.13702857142857,0.18302857142857,0.22502857142857,0.30702857142857,0.37902857142857,0.38302857142857,0.30202857142857
Nor_110,0.13602857142857,0.18002857142857,0.23202857142857,0.31402857142857,0.35002857142857,0.41102857142857,0.33202857142857
Nor_112,0.13902857142857,0.19302857142857,0.23302857142857,0.39402857142857,0.43202857142857,0.43402857142857,0.36002857142857
Amp_32,0.33602857142857,0.38302857142857,0.42902857142857,0.70802857142857,0.70402857142857,0.66202857142857,0.65402857142857
Amp_48,0.28102857142857,0.32002857142857,0.33502857142857,0.64302857142857,0.56902857142857,0.57502857142857,0.44202857142857
Amp_43,0.31202857142857,0.38302857142857,0.50302857142857,0.65602857142857,0.70702857142857,0.75202857142857,0.79402857142857
Amp_54,0.24902857142857,0.29102857142857,0.32102857142857,0.59502857142857,0.66602857142857,0.65602857142857,0.51902857142857
Amp_35,0.33102857142857,0.33602857142857,0.35402857142857,0.51702857142857,0.55802857142857,0.50302857142857,0.43902857142857
Amp_42,0.26002857142857,0.30802857142857,0.33802857142857,0.45102857142857,0.51502857142857,0.48402857142857,0.33502857142857
Amp_46,0.29502857142857,0.34102857142857,0.36102857142857,0.49402857142857,0.60102857142857,0.55202857142857,0.36302857142857
Amp_55,0.31202857142857,0.33002857142857,0.38902857142857,0.55802857142857,0.57402857142857,0.57002857142857,0.54902857142857
Amp_29,0.29802857142857,0.35902857142857,0.38902857142857,0.68402857142857,0.58302857142857,0.59102857142857,0.42302857142857
Nor_65,0.00402857142857,0.00702857142857,0.01002857142857,0.02002857142857,0.04502857142857,0.07302857142857,0.09502857142857
Nor_68,0.16802857142857,0.21802857142857,0.26302857142857,0.35102857142857,0.42902857142857,0.47202857142857,0.29802857142857
Nor_116,0.00902857142857,0.01102857142857,0.01302857142857,0.02802857142857,0.05702857142857,0.09102857142857,0.11202857142857
Nor_117,0.04302857142857,0.10802857142857,0.18502857142857,0.27402857142857,0.47502857142857,0.61602857142857,0.86102857142857
Nor_85,0.07402857142857,0.11602857142857,0.15602857142857,0.29302857142857,0.41102857142857,0.52702857142857,0.60502857142857
Nor_105,0.07002857142857,0.12802857142857,0.17602857142857,0.30102857142857,0.39002857142857,0.39802857142857,0.18002857142857
Nor_103,0.01802857142857,0.03902857142857,0.05402857142857,0.10602857142857,0.10502857142857,0.13502857142857,0.31902857142857
Nor_83,0.04202857142857,0.05802857142857,0.08102857142857,0.30902857142857,0.52202857142857,0.56702857142857,0.45902857142857
Nor_106,-0.01097142857143,-0.00897142857143,-0.00697142857143,0.00302857142857,0.03202857142857,0.06502857142857,0.10902857142857
Nor_104,0.14602857142857,0.19102857142857,0.21902857142857,0.25902857142857,0.29502857142857,0.23202857142857,0.25402857142857
Nor_76,0.10002857142857,0.14702857142857,0.19602857142857,0.40902857142857,0.61402857142857,0.79502857142857,0.92102857142857
Nor_113,0.00102857142857,0.00602857142857,0.00802857142857,0.02602857142857,0.06202857142857,0.07402857142857,0.11102857142857
Nor_109,0.17202857142857,0.22802857142857,0.27602857142857,0.39102857142857,0.47602857142857,0.53302857142857,0.60202857142857
Nor_94,0.04802857142857,0.07302857142857,0.11002857142857,0.21102857142857,0.36102857142857,0.46102857142857,0.47502857142857
Nor_111,0.01702857142857,0.02502857142857,0.03402857142857,0.08402857142857,0.12902857142857,0.15602857142857,0.16302857142857
Nor_101,0.13702857142857,0.17502857142857,0.22202857142857,0.30302857142857,0.45002857142857,0.55502857142857,0.53202857142857
Nor_90,0.00902857142857,0.01202857142857,0.01502857142857,0.03202857142857,0.06202857142857,0.08702857142857,0.09802857142857
Nor_91,0.05202857142857,0.08202857142857,0.10802857142857,0.21902857142857,0.29902857142857,0.32202857142857,0.33702857142857
Nor_75,0.00402857142857,0.00602857142857,0.00802857142857,0.01602857142857,0.03802857142857,0.06402857142857,0.09602857142857
Nor_66,0.01902857142857,0.03002857142857,0.04002857142857,0.10702857142857,0.15002857142857,0.18602857142857,0.19902857142857
Nor_84,-0.01097142857143,-0.01097142857143,-0.00897142857143,0.04402857142857,0.12702857142857,0.15302857142857,0.20002857142857
Nor_86,0.01102857142857,0.01502857142857,0.02302857142857,0.05102857142857,0.10102857142857,0.11402857142857,0.14702857142857
Nor_80,0.01002857142857,0.01402857142857,0.01702857142857,0.02802857142857,0.05302857142857,0.07802857142857,0.11302857142857
Nor_78,0.15302857142857,0.18202857142857,0.22002857142857,0.31402857142857,0.37102857142857,0.42302857142857,0.42602857142857
Nor_97,0.03602857142857,0.05602857142857,0.08202857142857,0.17602857142857,0.27002857142857,0.31902857142857,0.34702857142857
Nor_88,0.00102857142857,0.00202857142857,0.00402857142857,0.01202857142857,0.06402857142857,0.18602857142857,0.41102857142857
Nor_93,0.14402857142857,0.17802857142857,0.21602857142857,0.29502857142857,0.36302857142857,0.41202857142857,0.33502857142857
Nor_69,0.24002857142857,0.29002857142857,0.37402857142857,0.57402857142857,0.49302857142857,0.52002857142857,0.58502857142857
Nor_73,0.03702857142857,0.08002857142857,0.12502857142857,0.29802857142857,0.58202857142857,0.74802857142857,0.74902857142857
Kan_65,0.14702857142857,0.21902857142857,0.26702857142857,0.36702857142857,0.48602857142857,0.52902857142857,0.50102857142857
Kan_56,0.12302857142857,0.16702857142857,0.20302857142857,0.28302857142857,0.34702857142857,0.30202857142857,0.51602857142857
Kan_47,0.16202857142857,0.20702857142857,0.25502857142857,0.36102857142857,0.44402857142857,0.50502857142857,0.58302857142857
Kan_37,0.15202857142857,0.20102857142857,0.25102857142857,0.35002857142857,0.40802857142857,0.44702857142857,0.46202857142857
Kan_61,0.13202857142857,0.19802857142857,0.25002857142857,0.36202857142857,0.45802857142857,0.51502857142857,0.57002857142857
Kan_40,0.08802857142857,0.12902857142857,0.16302857142857,0.23502857142857,0.30002857142857,0.22802857142857,0.42702857142857
Kan_51,0.07602857142857,0.12802857142857,0.18902857142857,0.33302857142857,0.44102857142857,0.45502857142857,0.50802857142857
Kan_54,0.07902857142857,0.12302857142857,0.14802857142857,0.21202857142857,0.25102857142857,0.28902857142857,0.35802857142857
Amp_39,0.32402857142857,0.36602857142857,0.38402857142857,0.59502857142857,0.71002857142857,0.62902857142857,0.46802857142857
Amp_51,0.24202857142857,0.29002857142857,0.33702857142857,0.56302857142857,0.77802857142857,0.84302857142857,0.79002857142857
Amp_52,0.25802857142857,0.32302857142857,0.32302857142857,0.56302857142857,0.64102857142857,0.51802857142857,0.28802857142857
Amp_66,0.29702857142857,0.30102857142857,0.36802857142857,0.41602857142857,0.42202857142857,0.37702857142857,0.26602857142857
Amp_38,0.25002857142857,0.31602857142857,0.54002857142857,0.72302857142857,0.86202857142857,0.93402857142857,1.00902857142857
Amp_37,0.31402857142857,0.37302857142857,0.40302857142857,0.51502857142857,0.59202857142857,0.62502857142857,0.64102857142857
Amp_33,0.30202857142857,0.36202857142857,0.46402857142857,0.76602857142857,0.86402857142857,0.89802857142857,0.95202857142857
Amp_36,0.27002857142857,0.31702857142857,0.41002857142857,0.70802857142857,0.82302857142857,0.77302857142857,0.79602857142857
Amp_62,0.22202857142857,0.30902857142857,0.38302857142857,0.58002857142857,0.65302857142857,0.64402857142857,0.54902857142857
Amp_61,0.19002857142857,0.27902857142857,0.35702857142857,0.56302857142857,0.65202857142857,0.67602857142857,0.60902857142857
Amp_65,0.29202857142857,0.34302857142857,0.36202857142857,0.54702857142857,0.64102857142857,0.54902857142857,0.36802857142857
Amp_40,0.33102857142857,0.37502857142857,0.39602857142857,0.46402857142857,0.51902857142857,0.48702857142857,0.39902857142857
Amp_49,0.27002857142857,0.30402857142857,0.28602857142857,0.55402857142857,0.65902857142857,0.53602857142857,0.34402857142857
Amp_57,0.25702857142857,0.28602857142857,0.33802857142857,0.59602857142857,0.67602857142857,0.75602857142857,0.86402857142857
Amp_64,0.31502857142857,0.35202857142857,0.38002857142857,0.49302857142857,0.46602857142857,0.52702857142857,0.45502857142857
Amp_63,0.21702857142857,0.24702857142857,0.26302857142857,0.42002857142857,0.44102857142857,0.46602857142857,0.42202857142857
Amp_31,0.34202857142857,0.35902857142857,0.40902857142857,0.74602857142857,0.72902857142857,0.71602857142857,0.63102857142857
Amp_67,0.27102857142857,0.32102857142857,0.39202857142857,0.56502857142857,0.74202857142857,0.66802857142857,0.67502857142857
Amp_47,0.28402857142857,0.28402857142857,0.31902857142857,0.52202857142857,0.70302857142857,0.59402857142857,0.72002857142857
Amp_34,0.27302857142857,0.32802857142857,0.36002857142857,0.52702857142857,0.64502857142857,0.64202857142857,0.55602857142857
Amp_59,0.28202857142857,0.34102857142857,0.36602857142857,0.73002857142857,0.80402857142857,0.76502857142857,0.58202857142857
Amp_56,0.27602857142857,0.33102857142857,0.36102857142857,0.53902857142857,0.54502857142857,0.49602857142857,0.34402857142857
Amp_50,0.32002857142857,0.36102857142857,0.38002857142857,0.57902857142857,0.67002857142857,0.70502857142857,0.59702857142857
Amp_53,0.30602857142857,0.36302857142857,0.40202857142857,0.55902857142857,0.58002857142857,0.62202857142857,0.51602857142857
Amp_58,0.31502857142857,0.37102857142857,0.39802857142857,0.69902857142857,0.58402857142857,0.58502857142857,0.45402857142857
Kan_43,0.15002857142857,0.22502857142857,0.27402857142857,0.35702857142857,0.42902857142857,0.46402857142857,0.50702857142857
Kan_7,0.17962857142857,0.23662857142857,0.27562857142857,0.39162857142857,0.50562857142857,0.57562857142857,-
Nor_49,0.01562857142857,0.02062857142857,0.03562857142857,0.13462857142857,0.16462857142857,0.35162857142857,-
Nor_38,0.12162857142857,0.17662857142857,0.23562857142857,0.35862857142857,0.42162857142857,0.43162857142857,-
Nor_34,0.16462857142857,0.23362857142857,0.26762857142857,0.41762857142857,0.52462857142857,0.51762857142857,-
Nor_18,0.01362857142857,0.02362857142857,0.03362857142857,0.10762857142857,0.16762857142857,0.21662857142857,-
Nor_11,0.16162857142857,0.22962857142857,0.30262857142857,0.45262857142857,0.43262857142857,0.60562857142857,-
Nor_61,0.13962857142857,0.15762857142857,0.19162857142857,0.31262857142857,0.47362857142857,0.63362857142857,-
Nor_56,0.06262857142857,0.09462857142857,0.12362857142857,0.28662857142857,0.38262857142857,0.42962857142857,-
Tet_18,0.16162857142857,0.29062857142857,0.33162857142857,0.48562857142857,0.51262857142857,0.38962857142857,-
Kan_21,-0.00237142857143,0.00062857142857,0.00562857142857,0.07762857142857,0.11962857142857,0.14662857142857,-
Kan_20,0.12262857142857,0.17962857142857,0.21962857142857,0.42862857142857,0.57262857142857,0.62962857142857,-
Kan_6,0.14262857142857,0.21362857142857,0.24962857142857,0.42062857142857,0.43562857142857,0.51262857142857,-
Kan_12,0.16062857142857,0.22562857142857,0.27462857142857,0.40162857142857,0.45662857142857,0.48562857142857,-
Kan_8,0.14662857142857,0.20262857142857,0.26762857142857,0.38762857142857,0.41462857142857,0.44162857142857,-
Nor_27,0.01162857142857,0.02962857142857,0.04862857142857,0.14662857142857,0.22762857142857,0.25062857142857,-
Nor_19,0.17162857142857,0.23062857142857,0.28462857142857,0.43362857142857,0.48462857142857,0.54662857142857,-
Nor_41,0.13162857142857,0.17662857142857,0.21462857142857,0.43262857142857,0.43762857142857,0.44662857142857,-
Nor_44,0.00762857142857,0.02162857142857,0.03662857142857,0.07562857142857,0.12462857142857,0.15362857142857,-
Nor_39,0.26062857142857,0.38262857142857,0.43762857142857,0.51262857142857,0.52262857142857,0.58762857142857,-
Nor_26,0.03062857142857,0.05762857142857,0.08762857142857,0.15262857142857,0.17762857142857,0.18262857142857,-
Nor_20,0.07262857142857,0.11862857142857,0.15362857142857,0.34962857142857,0.41362857142857,0.50462857142857,-
Nor_12,0.06762857142857,0.11762857142857,0.16262857142857,0.57362857142857,0.84162857142857,0.93562857142857,-
Nor_2,0.16262857142857,0.22862857142857,0.29062857142857,0.36562857142857,0.46662857142857,0.48962857142857,-
Nor_59,0.14462857142857,0.19562857142857,0.24662857142857,0.36462857142857,0.52562857142857,0.58062857142857,-
Tet_7,-0.00237142857143,-0.00137142857143,-0.00037142857143,-0.00137142857143,-0.00037142857143,0.00062857142857,-
Nor_31,0.16562857142857,0.22762857142857,0.28162857142857,0.40362857142857,0.52762857142857,0.50662857142857,-
Kan_14,0.00862857142857,0.05462857142857,0.10362857142857,0.29462857142857,0.35362857142857,0.42262857142857,-
Nor_42,0.00662857142857,0.01762857142857,0.04162857142857,0.19562857142857,0.15162857142857,0.28062857142857,-
Nor_37,0.14562857142857,0.19762857142857,0.25562857142857,0.38762857142857,0.45162857142857,0.47962857142857,-
Nor_32,0.15562857142857,0.19762857142857,0.25062857142857,0.41062857142857,0.51662857142857,0.62662857142857,-
Nor_28,0.06962857142857,0.11762857142857,0.16162857142857,0.32962857142857,0.44662857142857,0.51162857142857,-
Nor_6,0.09762857142857,0.16362857142857,0.19862857142857,0.37862857142857,0.39262857142857,0.56062857142857,-
Nor_13,0.23062857142857,0.32662857142857,0.39362857142857,0.62662857142857,0.64262857142857,0.81962857142857,-
Nor_3,0.09462857142857,0.16862857142857,0.23462857142857,0.60462857142857,0.70762857142857,0.92262857142857,-
Nor_57,0.18062857142857,0.20962857142857,0.22862857142857,0.33362857142857,0.44062857142857,0.53762857142857,-
Kan_27,0.12462857142857,0.19962857142857,0.25462857142857,0.39962857142857,0.43462857142857,0.49062857142857,-
Kan_29,0.14362857142857,0.20462857142857,0.25962857142857,0.36062857142857,0.44562857142857,0.44162857142857,-
Nor_10,0.16762857142857,0.21962857142857,0.25662857142857,0.37862857142857,0.50562857142857,0.49962857142857,-
Nor_4,0.10762857142857,0.16062857142857,0.21262857142857,0.37562857142857,0.53462857142857,0.64162857142857,-
Nor_60,0.13762857142857,0.16562857142857,0.21362857142857,0.29962857142857,0.45462857142857,0.52062857142857,-
Tet_10,0.00362857142857,0.01262857142857,0.03662857142857,0.19462857142857,0.33362857142857,0.48462857142857,-
Kan_16,-0.00937142857143,-0.00937142857143,-0.00937142857143,-0.00937142857143,-0.00937142857143,-0.00937142857143,-
Kan_11,0.15962857142857,0.22062857142857,0.29262857142857,0.39662857142857,0.51362857142857,0.46762857142857,-
Nor_48,0.09962857142857,0.13362857142857,0.16462857142857,0.27362857142857,0.14762857142857,0.40662857142857,-
Nor_36,0.04762857142857,0.07062857142857,0.09162857142857,0.17062857142857,0.21462857142857,0.14862857142857,-
Nor_33,0.12862857142857,0.19662857142857,0.26362857142857,0.39162857142857,0.47362857142857,0.53262857142857,-
Nor_1,0.15262857142857,0.21662857142857,0.26362857142857,0.42562857142857,0.46662857142857,0.55162857142857,-
Nor_58,0.15862857142857,0.18562857142857,0.22062857142857,0.33962857142857,0.50162857142857,0.52462857142857,-
Nor_7,0.02962857142857,0.04662857142857,0.06662857142857,0.22762857142857,0.32762857142857,0.37662857142857,-
Nor_53,0.09162857142857,0.15962857142857,0.21562857142857,0.62462857142857,0.78462857142857,0.84562857142857,-
Kan_3,0.12762857142857,0.18462857142857,0.24562857142857,0.40462857142857,0.43962857142857,0.44562857142857,-
Kan_30,0.15062857142857,0.20962857142857,0.25762857142857,0.37962857142857,0.42662857142857,0.46962857142857,-
Kan_18,0.15162857142857,0.21462857142857,0.28662857142857,0.42862857142857,0.54062857142857,0.54762857142857,-
Kan_31,0.11762857142857,0.19062857142857,0.23662857142857,0.28562857142857,0.29162857142857,0.30162857142857,-
Cam_4,-0.00337142857143,-0.00337142857143,-0.00337142857143,-0.00237142857143,-0.00237142857143,-0.00237142857143,-
Cam_1,-0.00037142857143,-0.00037142857143,-0.00037142857143,-0.00037142857143,-0.00037142857143,-0.00037142857143,-
Tet_11,0.31762857142857,0.35162857142857,0.40362857142857,0.60162857142857,0.60562857142857,0.63762857142857,-
Cam_6,0.11762857142857,0.20562857142857,0.27662857142857,0.42462857142857,0.50962857142857,0.58762857142857,-
Cam_17,0.22162857142857,0.30062857142857,0.35062857142857,0.54762857142857,0.70962857142857,0.76562857142857,-
Kan_26,0.12662857142857,0.18362857142857,0.23362857142857,0.40862857142857,0.52762857142857,0.57762857142857,-
Tet_8,0.26362857142857,0.30362857142857,0.30862857142857,0.41062857142857,0.32262857142857,0.37862857142857,-
Tet_12,0.23262857142857,0.28962857142857,0.30762857142857,0.41762857142857,0.36562857142857,0.39862857142857,-
Tet_9,0.06562857142857,0.09362857142857,0.12362857142857,0.44262857142857,0.52962857142857,0.52262857142857,-
Kan_4,0.14762857142857,0.23262857142857,0.31362857142857,0.45362857142857,0.54662857142857,0.58962857142857,-
Kan_28,0.23762857142857,0.30262857142857,0.36262857142857,0.51962857142857,0.65862857142857,0.72062857142857,-
Kan_25,0.20062857142857,0.28962857142857,0.34062857142857,0.52362857142857,0.54162857142857,0.66862857142857,-
Kan_24,0.22962857142857,0.30862857142857,0.36862857142857,0.53362857142857,0.67362857142857,0.75162857142857,-
Kan_17,0.19862857142857,0.26062857142857,0.30362857142857,0.42562857142857,0.44262857142857,0.57162857142857,-
Kan_33,0.26162857142857,0.33262857142857,0.38962857142857,0.58362857142857,0.71262857142857,0.80362857142857,-
Kan_2,0.22062857142857,0.32462857142857,0.39862857142857,0.63462857142857,0.74562857142857,0.77462857142857,-
Cam_10,0.00262857142857,0.00362857142857,0.00462857142857,0.04762857142857,0.10262857142857,0.11962857142857,-
Kan_10,0.20962857142857,0.35762857142857,0.41262857142857,0.48462857142857,0.54062857142857,0.50962857142857,-
Tet_6,0.16362857142857,0.15562857142857,0.21162857142857,0.31962857142857,0.36062857142857,0.48362857142857,-
Tet_16,0.22962857142857,0.29762857142857,0.39162857142857,0.65162857142857,0.64662857142857,0.68662857142857,-
Cam_20,0.17962857142857,0.26162857142857,0.33462857142857,0.47562857142857,0.54762857142857,0.61262857142857,-
